SMILES,log2_K
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,-13.6606
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,-12.0688
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,-13.3575
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,-12.4198
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,-13.7739
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,-14.0653
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,-13.1178
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,-12.9061
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-11.7027
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-9.9185
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-9.8066
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-9.5873
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-11.2288
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-14.2877
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,-10.3808
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-11.8637
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-11.7558
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-11.5328
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-12.1656
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-11.6742
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-11.8945
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-12.3404
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-12.2162
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-11.81
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-11.3329
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-12.1469
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-11.991
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-11.7303
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-7.2617
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-4.3452
CC1=CC(=NC(=N1)S(=O)(=O)N)C,-10.079
CC1=CC(=NC(=N1)S(=O)(=O)N)C,-10.327
CC1=CC(=NC(=N1)S(=O)(=O)N)C,-10.9311
CC1=CC(=NC(=N1)S(=O)(=O)N)C,-12.5843
CC1=CC(=NC(=N1)S(=O)(=O)N)C,-12.8723
CC1=CC(=NC(=N1)S(=O)(=O)N)C,-12.8406
CC1=CC(=NC(=N1)S(=O)(=O)N)C,-11.5602
CC1=CC(=NC(=N1)S(=O)(=O)N)C,-11.8257
CC1=CC(=NC(=N1)S(=O)(=O)N)C,-12.2533
